epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4345,2.00269,3.8364,1.559,0.00798,0.55072,0.09813,0.07982,1.71295,3.56364,1.19735,0.00015003,0.00015003,0.00015003
2,35.9672,1.69503,2.92355,1.21012,0.00964,0.57971,0.2628,0.18041,1.57074,3.40161,1.1054,0.000310459,0.000310459,0.000310459
3,41.6743,1.5698,2.31227,1.12688,0.01874,0.76993,0.19345,0.14057,1.45026,3.35395,1.08379,0.000464286,0.000464286,0.000464286
4,45.8755,1.47669,1.68104,1.0935,0.01783,0.74819,0.49084,0.36902,1.45295,3.32882,1.14549,0.000611512,0.000611512,0.000611512
5,52.4886,1.37443,1.39468,1.07866,0.02164,0.86299,0.54414,0.39045,1.43328,2.99444,1.09663,0.000752137,0.000752137,0.000752137
6,57.9873,1.36974,1.30414,1.06309,0.02151,0.86117,0.62188,0.44739,1.41111,2.73109,1.13278,0.000886161,0.000886161,0.000886161
7,62.7242,1.28802,1.2174,1.03108,0.78558,0.53696,0.65917,0.46887,1.385,2.62667,1.10754,0.00101358,0.00101358,0.00101358
8,67.3332,1.26759,1.12263,1.02123,0.90098,0.50301,0.64571,0.48655,1.41698,2.60954,1.13948,0.0011344,0.0011344,0.0011344
9,72.4025,1.21419,1.07087,1.00662,0.97223,0.51349,0.70616,0.4996,1.46604,2.23896,1.1604,0.00124862,0.00124862,0.00124862
10,77.2839,1.23661,1.06486,1.00959,0.88379,0.58057,0.76414,0.54758,1.4095,1.91237,1.12109,0.00135624,0.00135624,0.00135624
11,81.7735,1.22304,1.04795,0.9841,0.78099,0.64045,0.78149,0.52377,1.42377,1.65567,1.14968,0.00133693,0.00133693,0.00133693
12,86.8024,1.1728,1.00993,0.97524,0.80037,0.70503,0.81534,0.55457,1.37786,1.43668,1.12332,0.00130393,0.00130393,0.00130393
13,90.815,1.18671,0.96929,0.98608,0.79477,0.73581,0.84416,0.603,1.40683,1.27939,1.14922,0.00127092,0.00127092,0.00127092
14,96.5306,1.16665,0.95993,0.97991,0.86706,0.77345,0.86078,0.59674,1.39381,1.08212,1.13009,0.00123791,0.00123791,0.00123791
