epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.866,2.38082,5.70385,1.50668,0.00431,0.41176,0.0031,0.00148,1.72364,4.01655,1.24173,0.00015003,0.00015003,0.00015003
2,42.6266,1.88627,4.69692,1.15278,0.00635,0.76471,0.00872,0.00393,1.60907,3.94508,1.14049,0.000313594,0.000313594,0.000313594
3,48.94,1.76733,3.58868,1.10068,0.00726,0.72059,0.00808,0.00325,1.94731,3.89327,1.32354,0.000473858,0.000473858,0.000473858
4,53.876,1.63519,2.85915,1.11338,0.00683,0.69118,0.00826,0.00352,1.9059,3.83484,1.30146,0.000630821,0.000630821,0.000630821
5,58.7107,1.62804,2.77836,1.0876,0.00441,0.51471,0.00465,0.00196,1.85252,3.8949,1.29947,0.000784484,0.000784484,0.000784484
6,65.2578,1.65788,2.58031,1.09458,0.00656,0.75,0.18075,0.05377,1.82337,3.58863,1.30997,0.000934845,0.000934845,0.000934845
7,70.7592,1.57904,2.4371,1.10471,0.00532,0.57353,0.15782,0.05399,1.71758,3.5488,1.25804,0.00108191,0.00108191,0.00108191
8,78.0501,1.5466,2.18566,1.07959,0.00593,0.64706,0.23121,0.09684,1.90433,3.44869,1.30546,0.00122567,0.00122567,0.00122567
9,83.1941,1.52283,1.97307,1.08172,0.00624,0.66176,0.1326,0.06596,1.78959,3.42052,1.28888,0.00136613,0.00136613,0.00136613
10,87.4526,1.64108,1.98362,1.11845,0.70371,0.02941,0.19804,0.08719,1.76279,3.16201,1.24105,0.00150329,0.00150329,0.00150329
11,93.004,1.55479,1.91337,1.07722,0.37833,0.27941,0.27902,0.1311,1.82741,2.74964,1.26205,0.00150197,0.00150197,0.00150197
12,97.8888,1.4491,1.7915,1.02754,0.45357,0.22059,0.31006,0.15498,1.7097,2.72141,1.2372,0.00148546,0.00148546,0.00148546
13,103.01,1.44435,1.79457,1.0173,0.44454,0.36765,0.3499,0.16852,1.79093,2.48348,1.29277,0.00146896,0.00146896,0.00146896
14,109.581,1.47726,1.76354,1.04681,0.53876,0.33824,0.40403,0.21137,1.66313,2.33659,1.25341,0.00145246,0.00145246,0.00145246
15,115.106,1.43742,1.69108,1.01669,0.63117,0.32723,0.41204,0.20783,1.57383,2.19937,1.24036,0.00143595,0.00143595,0.00143595
16,119.671,1.40056,1.64904,1.03169,0.61104,0.44118,0.49005,0.24665,1.65011,2.18862,1.25992,0.00141945,0.00141945,0.00141945
17,126.078,1.3999,1.57821,1.02768,0.84974,0.5,0.53536,0.23644,1.77663,2.15124,1.29675,0.00140295,0.00140295,0.00140295
18,130.78,1.42594,1.52429,1.00997,0.741,0.50496,0.58297,0.27959,1.66151,2.04505,1.24267,0.00138644,0.00138644,0.00138644
19,136.922,1.40561,1.43162,1.00276,0.54215,0.52941,0.45967,0.2323,1.6065,2.05191,1.21386,0.00136994,0.00136994,0.00136994
20,142.553,1.29475,1.45353,0.98842,0.66591,0.51471,0.52226,0.26033,1.61041,2.21895,1.21544,0.00135344,0.00135344,0.00135344
21,147.08,1.34936,1.37922,1.01859,0.66108,0.51635,0.49878,0.26226,1.59343,2.08281,1.22534,0.00133693,0.00133693,0.00133693
22,153.73,1.27983,1.27365,1.01447,0.72882,0.55882,0.5734,0.32269,1.62226,1.9342,1.25956,0.00132043,0.00132043,0.00132043
23,159.175,1.29535,1.24726,1.01045,0.72802,0.55116,0.60131,0.33644,1.61964,1.9938,1.25095,0.00130393,0.00130393,0.00130393
