epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7459,2.38082,5.70385,1.50668,0.00431,0.41176,0.00309,0.00147,1.72364,4.01655,1.24173,0.00015003,0.00015003,0.00015003
2,35.2284,1.89402,4.70339,1.15499,0.00669,0.79412,0.00903,0.00411,1.59653,3.93902,1.13382,0.000310459,0.000310459,0.000310459
3,39.2648,1.74088,3.59862,1.09077,0.00661,0.57353,0.00626,0.00311,2.01589,3.96227,1.37507,0.000464286,0.000464286,0.000464286
4,44.6239,1.6371,2.86711,1.12273,0.0039,0.38235,0.00361,0.00139,2.03804,3.95279,1.40473,0.000611512,0.000611512,0.000611512
5,48.7215,1.63773,2.7256,1.09516,0.00505,0.58824,0.02088,0.00988,1.89862,3.81122,1.29375,0.000752137,0.000752137,0.000752137
6,52.8255,1.60777,2.44051,1.07956,0.00454,0.48529,0.02073,0.01032,1.85205,3.84468,1.3064,0.000886161,0.000886161,0.000886161
7,58.0244,1.60936,2.3436,1.10521,0.00688,0.63235,0.02104,0.00882,1.60773,3.72563,1.20999,0.00101358,0.00101358,0.00101358
8,61.9166,1.56781,2.15223,1.07945,0.00525,0.5,0.14606,0.07833,1.68813,3.57185,1.23359,0.0011344,0.0011344,0.0011344
9,66.6407,1.51998,1.98192,1.07939,0.00446,0.38235,0.22544,0.12117,1.67046,3.26092,1.27017,0.00124862,0.00124862,0.00124862
10,71.7047,1.58892,2.00295,1.11373,0.9717,0.08824,0.31729,0.16808,1.61267,3.11189,1.23956,0.00135624,0.00135624,0.00135624
11,76.0375,1.5201,1.94182,1.07654,0.81722,0.13235,0.328,0.16737,1.73521,3.05001,1.28969,0.00133693,0.00133693,0.00133693
12,80.0804,1.49885,1.82654,1.05141,0.61179,0.32353,0.39457,0.20543,1.71745,2.67019,1.29685,0.00130393,0.00130393,0.00130393
13,85.1955,1.51584,1.81899,1.05903,0.62932,0.37459,0.43282,0.24194,1.64278,2.33315,1.28276,0.00127092,0.00127092,0.00127092
14,89.499,1.47879,1.7503,1.06083,0.68871,0.32541,0.43065,0.21074,1.95298,2.34594,1.52736,0.00123791,0.00123791,0.00123791
