epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,215.167,1.15258,0.94763,0.91323,0.61198,0.54412,0.53379,0.31567,1.64614,2.06005,1.24025,0.00121591,0.00121591,0.00121591
43,219.072,1.10305,0.93238,0.92616,0.60172,0.5,0.53718,0.31018,1.6721,2.19903,1.2514,0.00120491,0.00120491,0.00120491
44,223.167,1.08623,0.89049,0.93016,0.74596,0.47507,0.57831,0.3307,1.68949,2.55661,1.2654,0.00119391,0.00119391,0.00119391
45,227.987,1.07756,0.87798,0.92599,0.90121,0.47059,0.61013,0.32979,1.66903,2.24304,1.25168,0.0011829,0.0011829,0.0011829
46,232.372,1.11446,0.85203,0.93188,0.87716,0.57353,0.65509,0.33126,1.60647,2.11316,1.25127,0.0011719,0.0011719,0.0011719
47,235.896,1.12161,0.88787,0.93405,0.84162,0.54412,0.65005,0.34165,1.53043,1.921,1.19832,0.0011609,0.0011609,0.0011609
48,240.592,1.01322,0.83598,0.9209,0.78355,0.61765,0.71899,0.39368,1.5303,1.47881,1.20597,0.0011499,0.0011499,0.0011499
49,245.109,1.10411,0.91312,0.92931,0.62107,0.63235,0.73337,0.37997,1.52893,1.58364,1.19979,0.00113889,0.00113889,0.00113889
50,249.186,1.10328,0.82433,0.93711,0.75593,0.54412,0.63168,0.3567,1.50418,1.73358,1.1819,0.00112789,0.00112789,0.00112789
51,253.086,1.04007,0.81565,0.91463,0.80872,0.52941,0.63715,0.35071,1.58357,1.8349,1.22277,0.00111689,0.00111689,0.00111689
52,258.214,1.05947,0.79249,0.90234,0.88398,0.48529,0.60443,0.30231,1.63474,2.03821,1.22579,0.00110589,0.00110589,0.00110589
53,262.618,1.11544,0.851,0.90427,0.87421,0.55882,0.66746,0.34817,1.59212,1.69221,1.22757,0.00109489,0.00109489,0.00109489
54,266.291,1.06587,0.81177,0.91486,0.97115,0.49519,0.6691,0.36467,1.56121,1.51294,1.20352,0.00108388,0.00108388,0.00108388
55,271.671,1.02122,0.80299,0.89591,0.72519,0.55882,0.64961,0.36072,1.54299,1.62873,1.19895,0.00107288,0.00107288,0.00107288
56,275.699,1.01906,0.7959,0.89972,0.87582,0.54412,0.63053,0.32965,1.57958,2.1478,1.2382,0.00106188,0.00106188,0.00106188
57,279.834,1.07886,0.82896,0.92682,0.88492,0.55882,0.63557,0.32595,1.55375,2.20081,1.2376,0.00105088,0.00105088,0.00105088
58,284.754,1.04063,0.81849,0.93122,0.73294,0.5651,0.59726,0.33873,1.68956,2.22144,1.29156,0.00103987,0.00103987,0.00103987
59,288.881,0.95655,0.77105,0.90432,0.88,0.53929,0.63427,0.36344,1.65046,2.09126,1.25698,0.00102887,0.00102887,0.00102887
60,292.705,1.04339,0.80239,0.90739,0.87994,0.58824,0.62889,0.33588,1.55214,2.15889,1.21918,0.00101787,0.00101787,0.00101787
61,297.213,1.09674,0.80634,0.91881,0.93189,0.57353,0.67156,0.34817,1.59638,2.04395,1.22352,0.00100687,0.00100687,0.00100687
62,302.206,1.05021,0.79024,0.91376,0.923,0.55882,0.66031,0.35824,1.58425,2.0391,1.20337,0.000995866,0.000995866,0.000995866
63,306.325,1.03693,0.774,0.8963,0.84909,0.52941,0.60415,0.34105,1.51188,2.24878,1.1608,0.000984864,0.000984864,0.000984864
64,310.943,1.02611,0.791,0.88766,0.89102,0.48105,0.56206,0.3091,1.60318,2.31649,1.22088,0.000973861,0.000973861,0.000973861
65,315.966,1.06934,0.78999,0.90823,0.81282,0.58824,0.61892,0.33336,1.5259,2.07691,1.18783,0.000962859,0.000962859,0.000962859
66,319.486,1.02108,0.74877,0.91289,0.78301,0.61765,0.67759,0.37466,1.54244,1.68085,1.23374,0.000951857,0.000951857,0.000951857
67,323.127,0.9623,0.72125,0.90858,0.93207,0.51471,0.66818,0.39116,1.56412,1.76933,1.21789,0.000940855,0.000940855,0.000940855
68,328.709,0.98243,0.72583,0.91473,0.89113,0.60187,0.67678,0.37823,1.63121,1.78433,1.26088,0.000929853,0.000929853,0.000929853
69,332.826,0.96631,0.72766,0.88648,0.87222,0.60294,0.65565,0.35503,1.61204,1.95023,1.24478,0.00091885,0.00091885,0.00091885
70,336.79,0.95987,0.72893,0.90702,0.86931,0.58695,0.64316,0.37538,1.6543,2.04786,1.24019,0.000907848,0.000907848,0.000907848
71,342.156,0.93489,0.70882,0.89961,0.90882,0.58824,0.6509,0.38114,1.62845,2.01988,1.22827,0.000896846,0.000896846,0.000896846
72,346.044,0.99589,0.72117,0.89011,0.90874,0.58824,0.63934,0.36116,1.6302,1.99559,1.22846,0.000885844,0.000885844,0.000885844
73,350.065,0.91636,0.69377,0.87677,0.86176,0.55882,0.60238,0.32461,1.65764,2.09459,1.23362,0.000874842,0.000874842,0.000874842
74,355.388,0.97293,0.68303,0.88337,0.77679,0.56301,0.59292,0.34329,1.61642,2.12922,1.23157,0.000863839,0.000863839,0.000863839
75,359.291,0.92238,0.67566,0.88969,0.79524,0.57353,0.61364,0.33268,1.61222,2.19824,1.22949,0.000852837,0.000852837,0.000852837
76,363.409,0.94111,0.70106,0.87692,0.79734,0.57353,0.63802,0.34865,1.61544,2.03197,1.21508,0.000841835,0.000841835,0.000841835
77,368.156,0.96815,0.70089,0.87414,0.92157,0.58824,0.65077,0.36033,1.62741,1.95292,1.22106,0.000830833,0.000830833,0.000830833
78,372.378,0.92098,0.69851,0.88551,0.92678,0.55844,0.65793,0.37462,1.58173,1.93749,1.20597,0.000819831,0.000819831,0.000819831
79,376.582,0.94776,0.67971,0.88934,0.94794,0.53563,0.66938,0.39416,1.58218,2.11164,1.20549,0.000808828,0.000808828,0.000808828
80,380.525,0.96729,0.6981,0.89339,0.8523,0.50926,0.62215,0.3523,1.65967,2.23663,1.24914,0.000797826,0.000797826,0.000797826
81,386.26,0.89448,0.64767,0.87034,0.92071,0.51235,0.62689,0.36308,1.58937,2.25563,1.20739,0.000786824,0.000786824,0.000786824
82,390.265,0.93246,0.67124,0.89995,0.95574,0.54412,0.64622,0.36916,1.52492,2.28296,1.18244,0.000775822,0.000775822,0.000775822
83,393.981,0.91722,0.70229,0.89364,0.86987,0.57353,0.64372,0.37364,1.50523,2.28777,1.16005,0.00076482,0.00076482,0.00076482
84,399.625,0.98757,0.71553,0.88567,0.9241,0.57353,0.65808,0.37594,1.52552,1.97316,1.16601,0.000753817,0.000753817,0.000753817
85,403.949,0.96343,0.67206,0.87373,0.94139,0.58824,0.67812,0.38901,1.58821,1.67396,1.22403,0.000742815,0.000742815,0.000742815
86,407.758,0.91213,0.69288,0.87307,0.9376,0.60294,0.67883,0.38406,1.60583,1.71286,1.24215,0.000731813,0.000731813,0.000731813
87,413.156,0.96916,0.70485,0.88276,0.91477,0.63136,0.68041,0.37409,1.59415,1.77651,1.23503,0.000720811,0.000720811,0.000720811
88,417.167,0.90513,0.64812,0.86361,0.92955,0.61765,0.68291,0.37847,1.58865,1.93037,1.2226,0.000709809,0.000709809,0.000709809
89,421.218,0.87685,0.64167,0.88039,0.95411,0.61157,0.70627,0.38256,1.609,1.89961,1.23236,0.000698806,0.000698806,0.000698806
90,426.154,0.90231,0.6308,0.88711,0.92653,0.61765,0.71447,0.40472,1.56034,1.91571,1.19164,0.000687804,0.000687804,0.000687804
91,430.585,0.95972,0.69375,0.91573,0.90644,0.61765,0.70967,0.41065,1.55642,2.09528,1.18747,0.000676802,0.000676802,0.000676802
92,434.624,0.8769,0.65338,0.87811,0.97301,0.55882,0.6729,0.38312,1.5283,2.29256,1.18801,0.0006658,0.0006658,0.0006658
93,438.7,0.88343,0.6329,0.85887,0.94703,0.52596,0.65159,0.36507,1.49943,2.32438,1.1612,0.000654798,0.000654798,0.000654798
94,444.471,0.91295,0.63005,0.88742,0.98462,0.51471,0.64442,0.36534,1.55452,2.17683,1.1659,0.000643795,0.000643795,0.000643795
